"fecha","tienda","ciudad","categoria","producto","precio","unidades","canal"
"2026-04-08","Andina Granada","Cali","Alimentos","Huevos x30","18880","1","Tienda"
"2026-04-28","Andina Granada","Cali","Alimentos","Huevos x30","19740","3","Tienda"
"2026-04-24","Andina Chapinero","Bogotá","Snacks","Papas fritas","3280","","Online"
"2026-03-21","Andina Envigado","Medellín","Alimentos","Huevos x30","19150","1","Tienda"
"2026-03-30","Andina Granada","Cali","Bebidas","Café molido 500g","16500,5","3","Tienda"
"2026-04-10","Andina Cedritos","Bogotá","Bebidas","Gaseosa 1.5L","6330","1","Tienda"
"2026-03-11","Andina Granada","Cali ","Aseo","Jabón de manos","5470","2","Tienda"
"2026-03-05","Andina Laureles","Medellín","Snacks","Chocolatina","2200","3","Online"
"2026-03-02","Andina Granada","CALI","Alimentos","Arroz 1kg","4410","1","Tienda"
"2026-03-31","Andina Laureles","Medellín","Bebidas","Gaseosa 1.5L","6790","5","Tienda"
"2026-04-17","Andina Laureles","Medellín","Alimentos","Huevos x30","18560","1","Tienda"
"2026-04-27","Andina Ciudad Jardín","Cali","Snacks","Maní salado","4070","2","Tienda"
