id,sexo,edad,anios_educacion,nivel_educativo,departamento,ingreso_laboral,horas_semana
5919,hombre,35,16,superior,Atlantico,1100000,60
5920,hombre,65,7,secundaria,Atlantico,240000,15
5921,mujer,58,16,superior,Atlantico,2000000,40
5922,hombre,45,11,media,Atlantico,1050000,56
5923,hombre,34,16,superior,Atlantico,1562484,48
5924,mujer,27,15,superior,Atlantico,250000,21
5925,hombre,36,12,superior,Atlantico,500000,48
5926,mujer,49,3,primaria,Atlantico,600000,30
5927,mujer,30,7,secundaria,Atlantico,120000,63
5928,hombre,29,7,secundaria,Atlantico,1240000,70
5929,mujer,45,5,primaria,Atlantico,220000,9
5930,hombre,40,8,secundaria,Atlantico,720000,66
5931,mujer,22,11,media,Atlantico,120000,35
5932,hombre,49,11,media,Atlantico,1000000,72
5933,mujer,49,11,media,Atlantico,48000,6
5934,hombre,42,2,primaria,Atlantico,900000,48
5935,mujer,32,2,primaria,Atlantico,500000,44
5936,hombre,60,11,media,Atlantico,3500000,50
5937,mujer,32,16,superior,Atlantico,1000000,48
5938,hombre,33,13,superior,Atlantico,900000,48
5939,hombre,53,11,media,Atlantico,1200000,72
5940,mujer,54,11,media,Atlantico,100000,20
5941,mujer,23,14,superior,Atlantico,900000,48
5942,hombre,41,13,superior,Atlantico,800000,60
5943,hombre,58,11,media,Atlantico,1400000,48
5944,mujer,56,11,media,Atlantico,150000,20
5945,hombre,47,3,primaria,Atlantico,900000,72
5946,hombre,21,11,media,Atlantico,840000,60
5947,hombre,57,11,media,Atlantico,750000,84
5948,mujer,26,16,superior,Atlantico,600000,42
5949,hombre,44,13,superior,Atlantico,1500000,48
5950,hombre,40,12,superior,Atlantico,570000,72
5951,mujer,41,7,secundaria,Atlantico,450000,30
5952,hombre,38,8,secundaria,Atlantico,1140000,72
5953,mujer,23,13,superior,Atlantico,781000,45
5954,hombre,46,11,media,Atlantico,320000,32
5955,mujer,40,11,media,Atlantico,900000,48
5956,mujer,41,14,superior,Atlantico,1100000,48
5957,hombre,53,8,secundaria,Atlantico,901242,48
5958,mujer,51,11,media,Atlantico,50000,7
5959,mujer,48,5,primaria,Atlantico,510000,48
5960,hombre,61,6,secundaria,Atlantico,1000000,60
5961,mujer,57,13,superior,Atlantico,200000,36
5962,hombre,38,11,media,Atlantico,900000,63
5963,hombre,38,11,media,Atlantico,900000,60
5964,hombre,54,13,superior,Atlantico,1000000,48
5965,hombre,32,14,superior,Atlantico,901242,48
5966,mujer,34,11,media,Atlantico,781242,48
5967,hombre,40,11,media,Atlantico,1200000,48
5968,hombre,43,7,secundaria,Atlantico,900000,98
5969,mujer,22,11,media,Atlantico,1000000,48
5970,hombre,46,6,secundaria,Atlantico,800000,70
5971,hombre,48,11,media,Atlantico,750000,48
5972,mujer,43,11,media,Atlantico,650000,8
5973,hombre,52,3,primaria,Atlantico,800000,48
5974,mujer,58,11,media,Atlantico,300000,36
5975,mujer,39,11,media,Atlantico,600000,70
5976,mujer,59,7,secundaria,Atlantico,800000,14
5977,hombre,30,8,secundaria,Atlantico,760000,74
5978,mujer,41,13,superior,Atlantico,900000,48
5979,hombre,28,7,secundaria,Atlantico,500000,48
5980,hombre,23,11,media,Atlantico,600000,60
5981,mujer,37,14,superior,Atlantico,380000,60
5982,hombre,29,11,media,Atlantico,900000,50
5983,hombre,45,17,superior,Atlantico,1000000,72
5984,hombre,33,5,primaria,Atlantico,200000,72
5985,mujer,37,12,superior,Atlantico,300000,30
5986,hombre,33,5,primaria,Atlantico,300000,30
5987,mujer,53,11,media,Atlantico,700000,35
5988,hombre,18,11,media,Atlantico,300000,40
5989,hombre,37,11,media,Atlantico,400000,40
5990,mujer,61,11,media,Atlantico,280000,48
5991,hombre,34,11,media,Atlantico,800000,56
5992,hombre,32,11,media,Atlantico,600000,60
5993,mujer,45,11,media,Atlantico,300000,40
5994,hombre,52,11,media,Atlantico,1000000,48
5995,mujer,43,11,media,Atlantico,800000,48
5996,hombre,23,16,superior,Atlantico,1400000,48
5997,hombre,20,13,superior,Atlantico,300000,40
5998,hombre,37,13,superior,Atlantico,2000000,48
5999,hombre,18,13,superior,Atlantico,900000,48
6000,mujer,51,13,superior,Bogota D.C.,1581242,72
6001,mujer,29,15,superior,Bogota D.C.,6000000,48
6002,hombre,40,17,superior,Bogota D.C.,4000000,48
6003,mujer,44,7,secundaria,Bogota D.C.,400000,40
6004,hombre,37,11,media,Bogota D.C.,450000,40
6005,hombre,40,13,superior,Bogota D.C.,900000,40
6006,hombre,52,11,media,Bogota D.C.,1157000,48
6007,hombre,19,14,superior,Bogota D.C.,781242,45
6008,hombre,60,11,media,Bogota D.C.,781242,40
6009,mujer,25,14,superior,Bogota D.C.,781242,40
6010,mujer,41,7,secundaria,Bogota D.C.,600000,24
6011,mujer,32,11,media,Bogota D.C.,600000,55
6012,hombre,42,11,media,Bogota D.C.,1600000,40
6013,mujer,36,11,media,Bogota D.C.,1064000,44
6014,hombre,58,16,superior,Bogota D.C.,35000000,40
6015,mujer,54,18,superior,Bogota D.C.,7000000,40
6016,hombre,53,16,superior,Bogota D.C.,734000,70
6017,mujer,60,16,superior,Bogota D.C.,734000,84
6018,hombre,29,13,superior,Bogota D.C.,1384000,35
6019,mujer,37,19,superior,Bogota D.C.,7000000,55
6020,hombre,55,18,superior,Bogota D.C.,15000000,35
6021,mujer,29,16,superior,Bogota D.C.,4000000,55
6022,mujer,25,12,superior,Bogota D.C.,781242,60
6023,mujer,50,5,primaria,Bogota D.C.,580000,24
6024,hombre,55,7,secundaria,Bogota D.C.,1000000,72
6025,mujer,44,11,media,Bogota D.C.,981242,50
6026,mujer,26,13,superior,Bogota D.C.,820000,45
6027,mujer,49,11,media,Bogota D.C.,350000,79
6028,mujer,23,16,superior,Bogota D.C.,2313000,40
6029,hombre,45,9,secundaria,Bogota D.C.,1500000,48
6030,hombre,46,9,secundaria,Bogota D.C.,2000000,48
6031,hombre,21,11,media,Bogota D.C.,1200000,48
6032,hombre,22,11,media,Bogota D.C.,1200000,48
6033,mujer,39,19,superior,Bogota D.C.,20000000,48
6034,hombre,54,11,media,Bogota D.C.,1000000,48
6035,hombre,27,16,superior,Bogota D.C.,828116,48
6036,hombre,54,11,media,Bogota D.C.,800000,84
6037,mujer,53,4,primaria,Bogota D.C.,420000,20
6038,mujer,30,16,superior,Bogota D.C.,2650000,60
6039,hombre,49,5,primaria,Bogota D.C.,1200000,35
6040,mujer,45,8,secundaria,Bogota D.C.,150000,7
6041,mujer,28,18,superior,Bogota D.C.,3000000,45
6042,hombre,24,11,media,Bogota D.C.,2000000,60
6043,hombre,28,13,superior,Bogota D.C.,1300000,54
6044,mujer,31,18,superior,Bogota D.C.,14000000,30
6045,hombre,33,16,superior,Bogota D.C.,6700000,48
6046,hombre,33,8,secundaria,Bogota D.C.,600000,60
6047,mujer,29,16,superior,Bogota D.C.,2000000,40
6048,hombre,26,16,superior,Bogota D.C.,3300000,60
6049,mujer,41,16,superior,Bogota D.C.,5800000,40
6050,mujer,53,5,primaria,Bogota D.C.,1081242,48
6051,hombre,37,13,superior,Bogota D.C.,1000000,48
6052,mujer,53,15,superior,Bogota D.C.,5000000,35
6053,hombre,22,15,superior,Bogota D.C.,200000,6
6054,hombre,24,11,media,Bogota D.C.,1500000,50
6055,mujer,23,14,superior,Bogota D.C.,700000,80
6056,hombre,32,13,superior,Bogota D.C.,1000000,51
6057,mujer,30,11,media,Bogota D.C.,781242,48
6058,hombre,61,9,secundaria,Bogota D.C.,800000,48
6059,mujer,25,14,superior,Bogota D.C.,1000000,48
6060,mujer,35,16,superior,Bogota D.C.,1500000,48
6061,mujer,30,16,superior,Bogota D.C.,900000,24
6062,hombre,27,14,superior,Bogota D.C.,1000000,60
6063,hombre,35,14,superior,Bogota D.C.,781242,48
6064,hombre,41,9,secundaria,Bogota D.C.,1200000,84
6065,mujer,43,11,media,Bogota D.C.,901242,66
6066,hombre,23,11,media,Bogota D.C.,1140000,48
6067,mujer,59,5,primaria,Bogota D.C.,270000,18
6068,hombre,47,9,secundaria,Bogota D.C.,2000000,80
6069,mujer,38,11,media,Bogota D.C.,810000,48
6070,mujer,38,11,media,Bogota D.C.,781242,48
6071,hombre,48,8,secundaria,Bogota D.C.,900000,60
6072,mujer,38,11,media,Bogota D.C.,868000,62
6073,hombre,28,10,media,Bogota D.C.,100000,72
6074,mujer,23,11,media,Bogota D.C.,781242,54
6075,hombre,26,11,media,Bogota D.C.,900000,50
6076,hombre,52,11,media,Bogota D.C.,1200000,48
6077,mujer,49,14,superior,Bogota D.C.,781242,50
6078,hombre,58,13,superior,Bogota D.C.,650000,30
6079,mujer,59,16,superior,Bogota D.C.,720000,30
6080,mujer,24,16,superior,Bogota D.C.,1000000,60
6081,hombre,27,14,superior,Bogota D.C.,2138765,40
6082,mujer,44,5,primaria,Bogota D.C.,781242,48
6083,mujer,37,16,superior,Bogota D.C.,1300000,45
6084,hombre,36,16,superior,Bogota D.C.,1770000,40
6085,mujer,56,15,superior,Bogota D.C.,100000,12
6086,mujer,36,20,superior,Bogota D.C.,625000,60
6087,hombre,31,5,primaria,Bogota D.C.,904000,48
6088,mujer,26,14,superior,Bogota D.C.,781242,40
6089,mujer,29,7,secundaria,Bogota D.C.,1000000,72
6090,mujer,46,5,primaria,Bogota D.C.,900000,48
6091,hombre,50,13,superior,Bogota D.C.,1000000,60
6092,hombre,21,11,media,Bogota D.C.,781242,48
6093,mujer,47,11,media,Bogota D.C.,781242,48
6094,hombre,53,20,superior,Bogota D.C.,6500000,45
6095,mujer,48,16,superior,Bogota D.C.,3900000,48
6096,hombre,26,13,superior,Bogota D.C.,1300000,48
6097,mujer,25,16,superior,Bogota D.C.,1200000,45
6098,mujer,34,11,media,Bogota D.C.,900000,48
6099,hombre,37,21,superior,Bogota D.C.,4000000,40
6100,mujer,38,18,superior,Bogota D.C.,5700000,40
6101,hombre,35,15,superior,Bogota D.C.,1680000,48
6102,mujer,44,3,primaria,Bogota D.C.,1141242,48
6103,hombre,62,5,primaria,Bogota D.C.,200000,50
6104,hombre,23,14,superior,Bogota D.C.,1100000,40
6105,hombre,28,12,superior,Bogota D.C.,2420000,48
6106,mujer,35,11,media,Bogota D.C.,2200000,48
6107,mujer,40,16,superior,Bogota D.C.,1300000,40
6108,hombre,22,12,superior,Bogota D.C.,700000,36
6109,hombre,22,11,media,Bogota D.C.,849000,48
6110,mujer,53,9,secundaria,Bogota D.C.,796200,48
6111,hombre,51,11,media,Bogota D.C.,1000000,60
6112,mujer,24,11,media,Bogota D.C.,2000000,56
6113,mujer,39,11,media,Bogota D.C.,1000000,70
6114,hombre,52,11,media,Bogota D.C.,1700000,72
6115,mujer,20,14,superior,Bogota D.C.,1000000,24
6116,hombre,50,5,primaria,Bogota D.C.,150000,72
6117,hombre,32,11,superior,Bogota D.C.,1130000,48
6118,mujer,53,15,superior,Bogota D.C.,2800000,30
6119,hombre,61,17,superior,Bogota D.C.,5000000,72
6120,hombre,24,16,superior,Bogota D.C.,1600000,40
6121,hombre,43,6,secundaria,Bogota D.C.,350000,48
6122,mujer,40,11,media,Bogota D.C.,810000,48
6123,mujer,21,14,superior,Bogota D.C.,900000,48
6124,mujer,29,11,media,Bogota D.C.,1117242,70
6125,hombre,51,11,media,Bogota D.C.,1250000,48
6126,hombre,20,11,media,Bogota D.C.,781242,48
6127,mujer,22,14,superior,Bogota D.C.,1000000,40
6128,hombre,30,11,media,Bogota D.C.,1300000,40
6129,hombre,21,11,media,Bogota D.C.,781242,48
6130,hombre,41,11,media,Bogota D.C.,1300000,90
6131,hombre,53,9,secundaria,Bogota D.C.,1000000,48
6132,hombre,56,8,secundaria,Bogota D.C.,600000,38
6133,mujer,44,11,media,Bogota D.C.,700000,66
6134,hombre,56,11,media,Bogota D.C.,916242,70
6135,mujer,28,18,superior,Bogota D.C.,2000000,40
6136,mujer,37,20,superior,Bogota D.C.,1600000,48
6137,hombre,40,12,superior,Bogota D.C.,800000,63
6138,hombre,60,17,superior,Bogota D.C.,4000000,90
6139,mujer,28,15,superior,Bogota D.C.,900000,40
6140,hombre,20,13,superior,Bogota D.C.,1400000,78
6141,hombre,50,5,primaria,Bogota D.C.,1800000,60
6142,mujer,39,5,primaria,Bogota D.C.,950000,36
6143,mujer,33,10,media,Bogota D.C.,900000,48
6144,hombre,40,11,superior,Bogota D.C.,4500000,48
6145,mujer,38,11,media,Bogota D.C.,781242,40
6146,hombre,32,19,superior,Bogota D.C.,1800000,48
6147,hombre,44,11,media,Bogota D.C.,1200000,48
6148,mujer,35,11,media,Bogota D.C.,781242,48
6149,hombre,32,3,primaria,Bogota D.C.,800000,78
6150,hombre,45,17,superior,Bogota D.C.,4000000,45
6151,mujer,42,16,superior,Bogota D.C.,3000000,44
6152,mujer,39,13,superior,Bogota D.C.,800000,40
6153,hombre,33,11,media,Bogota D.C.,900000,50
6154,hombre,38,11,media,Bogota D.C.,1370000,60
6155,mujer,34,11,media,Bogota D.C.,900000,48
6156,hombre,46,5,primaria,Bogota D.C.,1000000,68
6157,hombre,45,8,secundaria,Bogota D.C.,5000000,72
6158,mujer,44,11,media,Bogota D.C.,1000000,60
6159,hombre,20,11,media,Bogota D.C.,800000,36
6160,mujer,33,11,media,Bogota D.C.,1000000,48
6161,mujer,30,19,superior,Bogota D.C.,1900000,40
6162,mujer,41,11,media,Bogota D.C.,781242,48
6163,mujer,36,16,superior,Bogota D.C.,1020000,45
6164,hombre,32,11,media,Bogota D.C.,1100000,48
6165,mujer,26,11,media,Bogota D.C.,2500000,30
6166,hombre,23,11,media,Bogota D.C.,900000,60
6167,mujer,28,11,media,Bogota D.C.,1700000,48
6168,mujer,21,11,media,Bogota D.C.,781242,48
6169,mujer,44,16,superior,Bogota D.C.,1500000,40
6170,hombre,45,9,secundaria,Bogota D.C.,820000,72
6171,hombre,25,13,superior,Bogota D.C.,942000,48
6172,hombre,60,16,superior,Bogota D.C.,18500000,45
6173,hombre,28,17,superior,Bogota D.C.,10000000,30
6174,mujer,40,19,superior,Bogota D.C.,4800000,40
6175,hombre,46,16,superior,Bogota D.C.,2000000,40
6176,mujer,43,17,superior,Bogota D.C.,1000000,10
6177,mujer,38,16,superior,Bogota D.C.,900000,48
6178,mujer,63,10,media,Bogota D.C.,1381242,40
6179,hombre,46,18,superior,Bogota D.C.,4100000,40
6180,hombre,39,14,superior,Bogota D.C.,7000000,40
6181,mujer,37,16,superior,Bogota D.C.,781242,40
6182,mujer,46,16,superior,Bogota D.C.,13500000,50
6183,hombre,36,5,primaria,Bogota D.C.,1600000,48
6184,mujer,46,21,superior,Bogota D.C.,1200000,48
6185,hombre,40,5,primaria,Bogota D.C.,1100000,48
6186,mujer,22,16,superior,Bogota D.C.,850000,42
6187,mujer,52,17,superior,Bogota D.C.,6000000,48
6188,mujer,34,17,superior,Bogota D.C.,781242,60
6189,mujer,40,7,secundaria,Bogota D.C.,1021242,48
6190,hombre,29,13,superior,Bogota D.C.,860000,50
6191,mujer,26,20,superior,Bogota D.C.,735000,36
6192,hombre,49,14,superior,Bogota D.C.,5000000,60
6193,hombre,24,15,superior,Bogota D.C.,1350000,42
6194,mujer,25,17,superior,Bogota D.C.,1000000,48
6195,hombre,57,5,primaria,Bogota D.C.,1500000,50
6196,hombre,23,11,media,Bogota D.C.,2000000,70
6197,hombre,30,13,superior,Bogota D.C.,1800000,50
6198,mujer,20,12,superior,Bogota D.C.,781242,56
6199,hombre,29,18,superior,Bogota D.C.,1400000,40
6200,mujer,18,11,media,Bogota D.C.,920000,84
6201,hombre,35,3,primaria,Bogota D.C.,1300000,54
6202,hombre,41,11,media,Bogota D.C.,3000000,30
6203,hombre,37,17,superior,Bogota D.C.,3800000,45
6204,mujer,29,18,superior,Bogota D.C.,4200000,55
6205,mujer,45,11,media,Bogota D.C.,830000,48
6206,hombre,43,16,superior,Bogota D.C.,3500000,45
6207,hombre,58,11,media,Bogota D.C.,3000000,30
6208,hombre,26,20,superior,Bogota D.C.,3000000,40
6209,mujer,24,15,superior,Bogota D.C.,1000000,40
6210,mujer,43,19,superior,Bogota D.C.,2900000,48
6211,mujer,59,11,media,Bogota D.C.,400000,50
6212,mujer,32,12,superior,Bogota D.C.,781242,48
6213,hombre,64,5,primaria,Bogota D.C.,700000,20
6214,hombre,65,7,secundaria,Bogota D.C.,800000,40
6215,hombre,20,12,superior,Bogota D.C.,800000,45
6216,hombre,24,8,secundaria,Bogota D.C.,1300000,72
6217,mujer,20,11,media,Bogota D.C.,1350000,72
6218,hombre,43,16,superior,Bogota D.C.,900000,70
6219,hombre,24,16,superior,Bogota D.C.,2800000,40
6220,hombre,29,14,superior,Bogota D.C.,1800000,40
6221,mujer,26,13,superior,Bogota D.C.,1500000,48
6222,hombre,38,11,media,Bogota D.C.,1200000,84
6223,hombre,46,13,superior,Bogota D.C.,1000000,50
6224,mujer,40,18,superior,Bogota D.C.,1500000,50
6225,mujer,45,11,media,Bolivar,500000,48
6226,hombre,21,13,superior,Bolivar,781242,48
6227,hombre,19,12,superior,Bolivar,760000,48
6228,hombre,49,11,media,Bolivar,350000,40
6229,mujer,56,5,primaria,Bolivar,670000,48
6230,hombre,45,0,ninguno,Bolivar,800000,60
6231,mujer,42,6,secundaria,Bolivar,100000,40
6232,mujer,32,14,superior,Bolivar,1600000,48
6233,hombre,58,11,media,Bolivar,1300000,60
6234,hombre,31,14,superior,Bolivar,600000,30
6235,hombre,30,11,media,Bolivar,2100000,48
6236,hombre,28,11,media,Bolivar,1200000,66
6237,mujer,28,11,media,Bolivar,781242,48
6238,hombre,24,5,primaria,Bolivar,800000,55
6239,hombre,34,11,media,Bolivar,700000,55
6240,hombre,53,5,primaria,Bolivar,1000000,60
6241,hombre,31,13,superior,Bolivar,800000,70
6242,hombre,24,11,media,Bolivar,600000,40
6243,mujer,20,11,media,Bolivar,300000,15
6244,hombre,32,13,superior,Bolivar,800000,48
6245,mujer,28,8,secundaria,Bolivar,500000,40
6246,hombre,33,11,media,Bolivar,1000000,60
6247,mujer,35,7,secundaria,Bolivar,800000,55
6248,hombre,33,11,media,Bolivar,800000,48
6249,mujer,56,9,secundaria,Bolivar,600000,30
6250,mujer,28,11,media,Bolivar,781242,48
6251,mujer,45,9,secundaria,Bolivar,400000,40
6252,mujer,45,11,media,Bolivar,700000,60
6253,mujer,20,11,media,Bolivar,600000,30
6254,hombre,45,10,media,Bolivar,1100000,70
6255,mujer,44,11,media,Bolivar,500000,50
6256,hombre,46,9,secundaria,Bolivar,869453,48
6257,mujer,46,13,superior,Bolivar,800000,50
6258,mujer,41,13,superior,Bolivar,400000,40
6259,hombre,39,13,superior,Bolivar,1000000,60
6260,mujer,47,11,media,Bolivar,869453,48
6261,mujer,26,13,superior,Bolivar,1000000,48
6262,hombre,25,11,media,Bolivar,700000,50
6263,hombre,61,16,superior,Bolivar,800000,3
6264,mujer,53,3,primaria,Bolivar,400000,40
6265,mujer,25,11,media,Bolivar,400000,40
6266,hombre,33,11,media,Bolivar,750000,48
6267,mujer,36,11,media,Bolivar,200000,30
6268,hombre,26,11,media,Bolivar,1200000,48
6269,hombre,52,5,primaria,Bolivar,850000,40
6270,mujer,64,3,primaria,Bolivar,400000,40
6271,mujer,43,16,superior,Bolivar,900000,48
6272,mujer,40,13,superior,Bolivar,1090000,48
6273,hombre,39,11,media,Bolivar,1000000,48
6274,hombre,53,9,secundaria,Bolivar,1500000,48
6275,hombre,33,13,superior,Bolivar,750000,40
6276,mujer,56,5,primaria,Bolivar,1300000,40
6277,hombre,42,16,superior,Bolivar,2400000,48
6278,hombre,22,12,superior,Bolivar,869453,48
6279,mujer,40,10,media,Bolivar,850000,40
6280,mujer,36,11,media,Bolivar,1500000,48
6281,hombre,40,11,media,Bolivar,1200000,60
6282,mujer,62,8,secundaria,Bolivar,700000,48
6283,hombre,33,11,media,Bolivar,781242,48
6284,hombre,42,14,superior,Bolivar,1600000,48
6285,hombre,56,11,media,Bolivar,781242,48
6286,hombre,21,11,media,Bolivar,450000,60
6287,mujer,20,11,media,Bolivar,300000,50
6288,hombre,45,11,media,Bolivar,1200000,60
6289,mujer,45,11,media,Bolivar,400000,40
6290,hombre,31,11,media,Bolivar,800000,60
6291,mujer,32,13,superior,Bolivar,1000000,48
6292,hombre,62,11,media,Bolivar,1000000,40
6293,mujer,31,11,media,Bolivar,450000,36
6294,mujer,27,11,media,Bolivar,420000,36
6295,hombre,61,11,media,Bolivar,1500000,60
6296,hombre,35,14,superior,Bolivar,1600000,48
6297,hombre,27,11,media,Bolivar,800000,40
6298,hombre,36,11,media,Bolivar,800000,40
6299,hombre,57,11,media,Bolivar,900000,50
6300,mujer,34,14,superior,Bolivar,1100000,48
6301,hombre,63,5,primaria,Bolivar,630000,40
6302,mujer,39,11,media,Bolivar,781242,48
6303,hombre,44,11,media,Bolivar,1700000,48
6304,hombre,54,5,primaria,Bolivar,900000,60
6305,mujer,51,14,superior,Bolivar,900000,55
6306,hombre,26,8,secundaria,Bolivar,781242,48
6307,hombre,50,7,secundaria,Bolivar,1500000,50
6308,mujer,30,13,superior,Bolivar,900000,48
6309,hombre,29,13,superior,Bolivar,700000,30
6310,hombre,22,13,superior,Bolivar,500000,40
6311,mujer,49,13,superior,Bolivar,700000,36
6312,mujer,48,11,media,Bolivar,600000,45
6313,hombre,33,11,media,Bolivar,1200000,48
6314,mujer,30,11,media,Bolivar,820000,48
6315,mujer,40,8,secundaria,Bolivar,1400000,30
6316,hombre,53,3,primaria,Bolivar,700000,55
6317,mujer,49,7,secundaria,Bolivar,400000,40
6318,mujer,59,13,superior,Bolivar,300000,30
6319,mujer,35,16,superior,Bolivar,1500000,40
6320,hombre,40,13,superior,Bolivar,1800000,48
6321,mujer,28,11,media,Bolivar,900000,36
6322,hombre,54,5,primaria,Bolivar,1200000,40
6323,mujer,39,11,media,Bolivar,1000000,30
6324,hombre,38,11,media,Bolivar,900000,48
6325,mujer,46,14,superior,Bolivar,1500000,48
6326,hombre,55,5,primaria,Bolivar,1200000,48
6327,hombre,31,11,media,Bolivar,1000000,48
6328,mujer,50,16,superior,Boyaca,2000000,40
6329,mujer,56,1,primaria,Boyaca,350000,30
6330,hombre,24,11,media,Boyaca,340000,40
6331,mujer,40,3,primaria,Boyaca,700000,60
6332,hombre,22,5,primaria,Boyaca,600000,40
6333,mujer,32,14,superior,Boyaca,781242,40
6334,mujer,59,11,media,Boyaca,300000,30
6335,hombre,40,11,media,Boyaca,2500000,70
6336,mujer,37,13,superior,Boyaca,1200000,40
6337,hombre,31,17,superior,Boyaca,2000000,48
6338,mujer,31,17,superior,Boyaca,1500000,40
6339,hombre,41,11,media,Boyaca,1500000,48
6340,mujer,39,13,superior,Boyaca,816000,48
6341,hombre,28,17,superior,Boyaca,3500000,40
6342,mujer,37,16,superior,Boyaca,7000000,20
6343,mujer,34,16,superior,Boyaca,500000,48
6344,hombre,47,11,media,Boyaca,900000,40
6345,hombre,35,11,superior,Boyaca,781242,61
6346,hombre,39,18,superior,Boyaca,2900000,48
6347,mujer,38,16,superior,Boyaca,981242,48
6348,mujer,35,13,superior,Boyaca,800000,40
6349,hombre,43,18,superior,Boyaca,3000000,48
6350,mujer,42,17,superior,Boyaca,3000000,40
6351,hombre,61,11,media,Caldas,781242,48
6352,hombre,48,11,media,Caldas,781242,48
6353,mujer,22,14,superior,Caldas,2280000,60
6354,mujer,42,11,media,Caldas,781242,48
6355,mujer,61,11,media,Caldas,450000,30
6356,hombre,35,14,superior,Caldas,1450000,48
6357,hombre,38,14,superior,Caldas,1171863,48
6358,mujer,26,12,superior,Caldas,781242,48
6359,mujer,38,8,secundaria,Caldas,450000,30
6360,hombre,59,8,secundaria,Caldas,1081242,72
6361,hombre,49,8,secundaria,Caldas,1171800,60
6362,hombre,33,11,media,Caldas,1200000,40
6363,hombre,56,6,secundaria,Caldas,1600000,40
6364,mujer,32,16,superior,Caldas,2000000,48
6365,hombre,35,13,superior,Caldas,1000000,72
6366,hombre,28,11,media,Caldas,800000,48
6367,mujer,37,8,secundaria,Caldas,781242,54
6368,hombre,62,5,primaria,Caldas,800000,48
6369,hombre,42,11,media,Caldas,1021242,48
6370,mujer,39,13,superior,Caldas,1000000,48
6371,hombre,65,16,superior,Caldas,300000,30
6372,hombre,63,5,primaria,Caldas,1600000,60
6373,mujer,46,13,superior,Caldas,540000,24
6374,mujer,23,15,superior,Caldas,980000,75
6375,mujer,41,14,superior,Caldas,3100000,82
6376,hombre,26,14,superior,Caldas,1060000,82
6377,mujer,29,16,superior,Caldas,781242,48
6378,mujer,25,15,superior,Caldas,781242,50
6379,hombre,43,11,media,Caldas,1200000,15
6380,hombre,57,0,ninguno,Caqueta,500000,50
6381,mujer,41,11,media,Caqueta,500000,50
6382,mujer,39,12,superior,Caqueta,800000,60
6383,hombre,37,11,media,Caqueta,700000,50
6384,hombre,29,11,media,Caqueta,800000,40
6385,mujer,37,13,superior,Caqueta,700000,50
6386,mujer,38,12,superior,Caqueta,800000,48
6387,hombre,40,11,media,Caqueta,800000,50
6388,hombre,20,11,media,Caqueta,150000,12
6389,mujer,61,6,secundaria,Caqueta,120000,20
6390,mujer,42,3,primaria,Caqueta,150000,40
6391,hombre,28,6,secundaria,Caqueta,80000,60
6392,hombre,24,6,secundaria,Caqueta,240000,70
6393,mujer,62,4,primaria,Caqueta,400000,60
6394,mujer,28,11,media,Caqueta,500000,60
6395,mujer,20,14,superior,Caqueta,806000,48
6396,mujer,60,2,primaria,Caqueta,100000,60
6397,mujer,34,3,primaria,Caqueta,100000,35
6398,mujer,30,12,superior,Caqueta,1000000,30
6399,mujer,36,5,primaria,Caqueta,150000,70
6400,hombre,50,11,media,Caqueta,650000,40
6401,mujer,37,11,media,Caqueta,400000,30
6402,hombre,20,11,media,Caqueta,500000,40
6403,mujer,23,11,media,Caqueta,1500000,60
6404,mujer,22,15,superior,Caqueta,900000,20
6405,mujer,59,16,superior,Caqueta,2000000,98
6406,hombre,25,13,superior,Caqueta,2400000,72
6407,hombre,37,19,superior,Caqueta,4500000,48
6408,hombre,37,16,superior,Caqueta,7000000,70
6409,hombre,40,9,secundaria,Caqueta,1300000,70
6410,hombre,28,11,media,Caqueta,200000,84
6411,hombre,33,5,primaria,Caqueta,1300000,48
6412,mujer,42,16,superior,Caqueta,1300000,48
6413,hombre,58,11,media,Caqueta,900000,48
6414,hombre,37,12,superior,Caqueta,780000,48
6415,hombre,43,14,superior,Caqueta,2300000,48
6416,mujer,40,11,media,Caqueta,1600000,48
6417,mujer,45,13,superior,Caqueta,830000,40
6418,hombre,39,12,superior,Caqueta,750000,48
6419,hombre,31,15,superior,Caqueta,900000,48
6420,mujer,26,15,superior,Caqueta,900000,40
6421,hombre,33,19,superior,Caqueta,4000000,40
6422,mujer,40,19,superior,Caqueta,4000000,48
6423,hombre,61,18,superior,Caqueta,3700000,48
6424,hombre,39,13,superior,Caqueta,1200000,60
6425,mujer,38,16,superior,Caqueta,4000000,40
6426,mujer,22,16,superior,Caqueta,780000,40
6427,mujer,54,18,superior,Caqueta,3100000,32
6428,mujer,20,12,superior,Caqueta,250000,20
6429,mujer,50,16,superior,Caqueta,3500000,48
6430,mujer,28,13,superior,Caqueta,900000,60
6431,mujer,45,11,media,Caqueta,782000,48
6432,hombre,29,11,media,Caqueta,840000,48
6433,hombre,33,13,superior,Caqueta,650000,60
6434,mujer,24,16,superior,Caqueta,1270000,48
6435,mujer,19,11,superior,Caqueta,700000,72
6436,hombre,34,16,superior,Caqueta,2000000,40
6437,mujer,57,2,primaria,Caqueta,150000,18
6438,hombre,40,13,superior,Caqueta,1700000,70
6439,hombre,19,11,superior,Caqueta,420000,20
6440,hombre,57,16,superior,Caqueta,800000,28
6441,mujer,40,6,secundaria,Caqueta,85000,20
